Source,Target,Weight
10370390600110,2102708901020238,578
5506407502220412,5012029072076,4877
1306208902220238,35099010201190134,2385
5506408901190127,802507701050110,2559
1106106701260412,14027010401140412,11126
190300620990222,26064013402220412,7300
19089011501260236,310430500530119,2399
5024025051061,1803808901020254,9156
350580810890134,5106206401570412,8619
1202405901610222,5029051061092,1894
703607702360267,1906808901150222,960
2505608001020236,2407607901100254,3514
480590600850222,201902901270412,-248
270290640790238,250670760800102,14833
21099011101570412,2502909201020134,6035
40509801040412,2079010201340236,4015
502506201150236,15032064089091,-4020
1004005801040105,64089010701340236,3723
290610640770412,430510590920238,6606
603707601140254,67099010601150121,211
2905908001340157,240250510750103,5710
160240320550222,402505101020121,7849
240430800900236,80510560850111,7938
15025058062099,24035016102360412,6021
190119012202380412,5305605801050110,5839
380400620910236,40640890920104,13569
10240530670102,1004005101570254,5480
24029061064089,19063012102360412,3191
160115012001330236,320510610920117,7701
1002805301060236,5608909201190134,2102
24037056067076,25058011201210236,4371
501001501150412,1302108901070238,-217
130440510590112,2903705401210157,5184
540550560810412,9015016024037,5384
1903905301030222,51058064076084,5169
28067023802660412,13021010401270254,10789
160190250920236,10035051089091,4119
101705901050236,220750890920121,6092
180240380680412,160390760810266,6387
7015019025075,240480740760222,7601
5406206401170222,1604507701220222,9350
1005306001100126,64081084089091,1061
2406007601100143,240290360990412,1886
1205109101340254,5089011401310222,2807
22064010301170157,2109209901210412,8225
5305406201270236,480610640810117,2534
2405807401190267,2907609901020412,-5977
1805806401030412,13040051055056,7657
54067010201150412,1005308101340154,3743
2506107701260222,70180640990106,9376
10080011901260143,59076010401210161,8392
70290610800157,10043010201120222,5111
18036037061077,5070530670111,-5588
34037064067089,23060011002380412,9548
2403207601610236,290360430800412,1137
905305801150119,19051016102660412,6757
2106808901150121,5084013402360267,8910
501302501570236,20510840920412,6198
5029036038045,708309201610236,7683
150240300770134,11013025067086,10220
250620750990104,160170430510254,4152
40560670980412,53060013401570236,5832
50160670980412,1104005401030236,2462
1006409202220412,10360640860110,1577
430480510640157,31067011101170134,6486
54081010301210412,2405706101170222,181
2905909801570267,1303706002220412,11008
70510560590143,86090015402540266,396
90190220360238,7017012002360267,8286
530121015402360238,2402507701050119,6214
1603906402360412,2505909101210222,7799
510640760800412,4204307701030122,1571
1702502801170236,110680760890222,6831
702705301200236,58076010602220412,3626
220240370590157,20064013402220412,2337
101001901610236,40110510980412,3215
5016042043075,320510530840238,8454
80240290890143,505306101040107,5406
502908901070157,70240390420412,7166
39056010301040117,2302409901430222,2971
803305002360412,80370760910236,2906
36064010501170222,2408108901270238,6502
70160180920254,2506207601260222,4886
102907701140412,5607608901100122,5325
20908901100157,50802501050236,1689
13024030051067,4061064081086,-5270
160111012201270236,7012042062092,2626
1001106701100267,3709009601210122,3083
806406701150412,5017022076089,3460
180220640800412,13055012101610222,3580
1002807501170236,250510540640103,302
62092015402360412,21076011501260254,1974
240640760890119,13022035045099,-4242
905105501140254,3705807601210222,10380
37072011001610238,90240610760236,7509
23035011501190254,20808901100134,144
2403705101050238,110210620840412,7939
290620760790254,10180200450412,-1012
16024010201040115,110580610670412,3714
160290900910238,5011067092098,18784
190610800920104,10015035064079,6122
19022053063064,17069010201210222,-3804
76077010401610412,4075010401210412,-2467
4011023053067,803309901040238,853
1307508401210222,506109201190412,4560
110230450530222,6006708001210238,425
10130510620115,704106402220267,-2282
13019043055067,5307709201020134,16783
51089010301220254,13032011402360412,5395
240250320610222,10100510830102,6575
3706409001100115,105105601050122,10070
403906701310412,3019042058063,6653
101706401210222,250290430560126,10590
190530750810222,130200220990238,7106
2002203302380267,840157016102220254,3734
450600800890222,6406709201150412,-2416
29062012201570267,43056012601340236,-2370
401603901170254,320430610830222,5271
2506107701570236,1608109201030121,5424
17037061077081,70100280370222,6547
10099010601140267,340530560800222,-588
708035045081,404309202360254,3892
406006201100121,501909602360238,-2263
110250810990107,130530580800236,6568
51055012001570412,50480540760412,7622
2203203601100157,8008909201260222,4786
4806408101010238,130280350610236,6222
90230910990119,4098010402380267,6930
250380410510121,100190530760236,501
3203708602220238,606708901050111,-117
902508501310222,240380510640412,2265
7092012101430236,42053064068076,5541
410510640760412,1702106401030117,-2440
19064010502220412,190250530920236,1473
4305108001020143,6206407601170222,2190
180390620890115,58060010502220412,7214
100250610780222,703905102660412,9422
110390670890105,1006407702360412,1190
1602405401340236,130290430760102,1435
13089011901540157,7018019025075,7865
190105011402220412,1090480630104,7617
6106206701570412,7608609902360254,1334
1605107501170157,150170760800134,6614
2403905501040412,22035015702660412,-3817
8059012101270157,4506409202360412,7733
1702505901570222,510640760820102,7316
160760770910236,2103709201050254,5236
180530560900114,17020024043051,-5478
50160250670102,90430510640127,6198
80100420560111,110200230800110,3025
60230370610133,1305307701140236,1318
210320550620114,120230510920101,-628
20290380530154,105506401110222,2639
16018056081098,19067010301330267,238
703508301050222,2506106301020157,7931
50410670690122,2905305401170157,4417
64067013402220267,40190250580104,1278
2090380510117,250330390550222,6274
770103010701330412,1304309001100121,3200
2906407801310267,10230510600412,8981
240250260770222,7015016023092,3204
10018019025051,230530770840236,1715
36080011101170236,430510640860105,3066
10160320510157,13025010401310254,9194
50370670860134,40130210530121,1800
1102508901570222,160190240990104,-873
11018024069089,7020050058081,4952
24029032055089,101707801610222,2257
1024010202220238,100290480550412,6931
2907708601150412,1205109901060121,9003
105107701110161,1301405101150412,5246
802905301570254,401108002360267,3902
380510600890134,7064013101570236,4995
50170810890117,40058013402360254,3648
480102011701570222,5018024043099,-495
1305608901340236,29058076077079,9782
15023050068089,10100250480236,6873
12037051056062,10506701020111,6720
1019051055092,4032011901260412,5314
5015053058099,1604306401100266,-196
70220310850412,50250580670105,7601
2016037051077,100430510740157,14286
50510910980161,120510580640157,10770
1203004801570238,110530760830236,461
250510620980157,40190760920119,8741
640115012101340222,2407609901110236,7245
507809901610222,2402707701020266,3161
100250510770121,501302201060134,4738
13061012101610236,160420450510254,7619
15058076078089,4504805301100254,3448
